,file_name,pcode,pname,win1,win2,hasbd
1448,8a818085799e19ce0179aced69676f85.pdf, SNZB-XWGX-D20212-0182   ,  新矿集团突水监测预警系统招标采购   ,中煤科工集团西安研究院有限公司,福州华虹智能科技股份有限公司,0
1449,8a81808579ae1f000179b0a108d808ac.pdf, SNZB-NMNY-D20212-0073   ,  内蒙古福城矿业有限公司单轨吊驱动轮包胶项目   ,泰安市鑫禧禄机械有限公司,泰安鑫诚机械科技有限公司,0
1450,8a81808579ae1f000179b1035f53120e.pdf, SNZB-NMNY-D20212-0156   ,  内蒙古鲁新能源开发有限责任公司鲁新煤矿主、副井电机保养检修项目（二,上海电气集团上海电机厂有限公司,,0
1451,8a81808579ae1f000179cbebea953fca.pdf,SDYD2021-207,山东国欣颐养集团智慧医药仓储物流产业园项目造价咨询土石方工程,,,0
1452,8a81808579ae1f000179d5022d8c0044.pdf, SNZB-XWGX-D20212-0155   ,  2021 年新矿集团自动化培训试验台及配套产品供应商入围招标项目（二次）   ,山东泰开成套电器有限公司,徐州宏远通信科技有限公司,0
1453,8a81808579ae1f000179e4198da53fdc.pdf, SNZB-NMNY-D20212-0148   ,  内蒙古福城矿业有限公司主井电控系统维修 保养招标项目（二次）   ,内蒙古绿能合创电气技术有限公司,,0
1454,8a81808579ae1f000179e96162126ae9.pdf, SNZB-XKHF-D20212-0168   ,  新汶矿业集团有限责任公司华丰煤矿构建筑物加固施工工程   ,山东恒山建筑技术有限公司,山东京杭建设发展有限公司,0
1455,8a81808579ae1f000179eaf1f2e07fcb.pdf,SNZB-SNWZ-D20213-0250 ,2021 年山东能源第八批淄矿集团挖掘式装载机, 江西鑫通机械制造有限公司,江西四通重工机械有限公司,1
1456,8a81808579ae1f000179eaf633f60001.pdf,SNZB-SNWZ-D20213-0267 ,2021 年山东能源第八批临矿集团无轨胶轮车采,: 山西天地煤机装备有限公司,,1
1457,8a81808579ae1f000179eea90a271952.pdf, SNZB-XKHK-D20212-0146   ,  内蒙古恒坤化工有限公司 LNG 循环水带压增加上回水总阀项目   ,河北捷耀管道工程技术有限公司,锐驰高科股份有限公司,0
1458,8a81808579ae1f000179eeaad750197e.pdf, SNZB-XKHK-D20212-0153   ,  内蒙古恒坤化工有限公司冷鼓工段煤气管线及回流管线项目   ,河北捷耀管道工程技术有限公司,锐驰高科股份有限公司,0
1459,8a81808579ae1f000179eeb213b019f3.pdf, SNZB-XKHK-D20212-0169   ,  内蒙古恒坤化工有限公司 LNG 车间 11 台电动机维保项目   ,佳木斯电机股份有限公司,昆山正昌机电维修有限公司,0
1460,8a81808579ae1f000179f4e9db0a5191.pdf,SNZB-SNWZ-D20213-0237 ,2021 年山东能源第五批新矿集团多绳摩擦式提,: ABB(中国)有限公司,,1
1461,8a81808579ae1f000179f4f1c36f520c.pdf,SNZB-SNWZ-D20213-0238 ,2021 年山东能源第五批新矿、淄矿集团架空乘, 枣庄新远大装备制造有限公司,石家庄煤矿机械有限责任公司,1
1462,8a81808579ae1f000179f500fd8d5335.pdf,SNZB-SNWZ-D20213-0249 ,2021 年山东能源第八批临矿集团转子式混凝土,: 郑州康达矿山机械有限公司,,1
1463,8a81808579f5a5320179f913168e12d7.pdf, SNZB-XKFW-D20212-0194   ,  新矿集团生产服务分公司起重设备、锅炉承修单位备选库入围项目   ,山东天源重工集团有限公司,山东鲁起重工机械有限公司,0
1464,8a81808579f5a532017a0f57e4575d89.pdf,SNZB-LKJT-D20213-0269 ,临矿集团新驿煤矿永磁同步电动滚筒招标采购项目   ,,,0
1465,8a81808579f5a532017a12b825d46b66.pdf, SNZB-ZYDC-D20212-0165   ,  上海地利置业有限公司中垠广场电梯设备采购及相关服务项目（二次）   ,通力电梯有限公司,蒂升电梯（中国）有限公司,0
1466,8a81808579f5a532017a1308130b6ebe.pdf,SNZB-XSHM-D20213-0278 ,临矿集团新上海一号煤矿挡矸坝建设工程（二次） ,陕西兴盛亿鑫建设工程有限公司,陕西恒泰伟业建设工程有限责任公司,0
1467,8a81808579f5a532017a189408f71737.pdf, SNZB-XKYL-D20212-0175   ,  伊犁一矿 1503 工作面组合开关等设备维修服务   ,察布查尔锡伯自治县众和机械设备有限公司,泰安鑫瑞动力机械有限公司,0
1468,8a81808579f5a532017a18b4fda01963.pdf, SNZB-XWGX-D20212-0183   ,  新矿集团孙村煤矿调度通信系统招标采购   ,深圳震有科技股份有限公司,杭州北辰天地通信设备有限公司,0
1469,8a81808579f5a532017a18bbe69519c8.pdf, SNZB-xwgx-D20212-0135   ,  新矿集团涡流无损探伤设备招标采购   ,苏州德斯森电子有限公司,宁波伟立机器人科技股份有限公司,0
1470,8a81808579f5a532017a18be3a8519f6.pdf, SNZB-XWGX-D20212-0101   ,  新矿集团拉丝机、对焊机招标采购（二次）   ,无锡平盛科技有限公司,无锡市赋鑫泉机械有限公司,0
1471,8a81808579f5a532017a1e6388124de9.pdf,SNZB-SNWZ-D20213-0281 ,2021 年山东能源第九批淄矿集团压风机变频器,: 济南劲恒机电设备有限公司,,1
1472,8a81808579f5a532017a2c5cf716728b.pdf, SNZB-XWGX-D20212-0210   ,  新矿集团地表沉降监测系统、冲击地压多参量综合监测预警系统招标采购   ,上海华测导航技术股份有限公司,北京志东方科技有限责任公司,0
1473,8a81808579f5a532017a5079224966e6.pdf,SNZB-LKJT-D20213-0313 ,山东玻纤集团股份有限公司 10 万吨玻璃纤维高端制,,,0
1474,8a81808579f5a532017a5b865d20323d.pdf, SNZB-NMNY-D20212-0186   ,  内蒙能源长城五矿矿井防隔水煤（岩）柱、构建（筑）物、主要井巷保护,中赟国际工程有限公司,,0
1475,8a81808579f5a532017a60f92ff45232.pdf,SNZB-SNWZ-D20213-0282 ,山东能源 2021 年第一批（统管供应商）,,,0
1476,8a81808579f5a532017a60fe2ee75275.pdf,SNZB-SNWZ-D20213-0283 ,山东能源 2021 年第一批（统管供应商）,,,0
1477,8a81808579f5a532017a6108efe35310.pdf,SNZB-SNWZ-D20213-0287 ,山东能源 2021 年第一批（统管供应商）工,,,0
1478,8a8180857a61c9cc017a74a4d3cb3f86.pdf, SNZB-XWGX-D20212-0024   ,  皮带机推动器制动器供应商入围招标（二次）（二次）   ,河南省中原制动器有限公司,焦作威豪制动设备有限公司,0
1479,8a8180857a61c9cc017a79cdee176a0b.pdf,SNZB-LKJT-D20213-0336 ,临矿集团彭庄煤矿柴油单轨吊升级改造项目 ,,,0
1480,8a8180857a61c9cc017a7a5dcca36ddb.pdf, SNZB-XWGX-D20212-0217   ,  新矿集团变频一体机、变频器、气动钻机、不间断电源柜、降压站接地消,石家庄泽林煤矿机械制造有限公司,石家庄博安煤矿机械制造有限公司,0
1481,8a8180857a61c9cc017a7a65a2a16e16.pdf, SNZB-NMNY-D20212-0203   ,  鄂托克前旗长城六号矿业有限公司煤炭汽车运输项目招标   ,鄂托克前旗信和货运有限责任公司,泰安瑞通运输有限责任公司,0
1482,8a8180857a61c9cc017a7aecdc9c7d3a.pdf,SNZB-SNWZ-D20213-0298 ,2021 年山东能源第九批淄矿集团真空组合馈电,: 山东开创电气有限公司,,1
1483,8a8180857a809a23017a88d2b527253d.pdf, SNZB-TNXZ-D20212-0178   ,  山东泰山能源有限责任公司协庄煤矿采场顶板运动特征及防冲支护技术开,,北京安科兴业矿山安全技术研究院有限公司,0
1484,8a8180857a809a23017a8a9abdb948ce.pdf, SNZB-XALH-D20212-0202   ,  西安鲁汇贸易有限公司 2021 年新疆区域混凝土制品、其他建材集中规模,伊犁茂泰商贸有限公司,新泰市顺益精密铸造有限公司,0
1485,8a8180857a809a23017a9816f98c63df.pdf,SNZB-XWGX-D20212-0220   ,新矿集团鲁新煤矿风机集控系统在建项目招标采购（二次）   ,徐州珂尔玛科技有限公司,徐州宏远通信科技有限公司,0
1486,8a8180857a809a23017a9941cb7772ab.pdf,SNZB-LKJT-D20213-0357 ,山东玻纤集团 10 万吨玻璃纤维高端制造管件、阀门,,,0
1487,8a8180857a809a23017a995ef5c9740c.pdf,SNZB-LKJT-D20213-0393 ,临矿集团彭庄煤矿智能化洗煤厂建设招标采购项目 ,,,0
1488,8a8180857a809a23017a99a8f3fe798e.pdf,SNZB-SDBX-D20213-0364 ,临矿集团山东玻纤三线 10 万吨玻纤高端制造项,山东桓台建设工程有限公司,山东恒洲建设集团有限公司,0
1489,8a8180857a809a23017a99ab170279a6.pdf,SNZB-SDBX-D20213-0365 ,临矿集团山东玻纤三线 10 万吨玻纤高端制造项,龙口矿业集团工程建设有限公司,山东恒洲建设集团有限公司,0
1490,8a8180857a9e1cb7017a9f035fd40f29.pdf, SNZB-XKYL-D20212-0199   ,  伊犁新矿煤业有限责任公司 煤场装载机自主运营管理过渡期机械租赁服,霍城县华强商贸有限公司,,0
