,Unnamed: 0,url,url_pdf
62,62,http://snzb.minegoods.com/sdny_winningperson/2022-10-27/16533.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a8180818414d9220184181bfd7d2c6a&page=1
63,63,http://snzb.minegoods.com/sdny_winningperson/2022-10-27/16532.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a8180848414d9ab0184181a26311f32&page=1
64,64,http://snzb.minegoods.com/sdny_winningperson/2022-10-27/16531.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a8180848414d9ab01841818929a1f11&page=1
65,65,http://snzb.minegoods.com/sdny_winningperson/2022-10-27/16530.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a8180838414d89401841816e89d34b6&page=1
66,66,http://snzb.minegoods.com/sdny_winningperson/2022-10-27/16529.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a8180818414d922018418150d782b13&page=1
67,67,http://snzb.minegoods.com/sdny_winningperson/2022-10-27/16528.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a8180838414d89401841811d12433d3&page=1
68,68,http://snzb.minegoods.com/sdny_winningperson/2022-10-27/16526.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a8180818414d92201841721bef40a6d&page=1
69,69,http://snzb.minegoods.com/sdny_winningperson/2022-10-27/16525.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a8180858414de9401841724416a179d&page=1
70,70,http://snzb.minegoods.com/sdny_winningperson/2022-10-27/16524.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a8180858414de940184172679c5181e&page=1
71,71,http://snzb.minegoods.com/sdny_winningperson/2022-10-27/16523.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a8180838414d8940184172b24331d5d&page=1
72,72,http://snzb.minegoods.com/sdny_winningperson/2022-10-27/16522.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a8180838414d8940184172e69cb1d9c&page=1
73,73,http://snzb.minegoods.com/sdny_winningperson/2022-10-24/16468.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808183f99bdf01840937494c11a4&page=1
74,74,http://snzb.minegoods.com/sdny_winningperson/2022-10-24/16467.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808583f9a441018409212c6e548f&page=1
75,75,http://snzb.minegoods.com/sdny_winningperson/2022-10-24/16466.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808183f99bdf01840918ad170d50&page=1
76,76,http://snzb.minegoods.com/sdny_winningperson/2022-10-24/16461.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808483f99c61018408b97fcb2796&page=1
77,77,http://snzb.minegoods.com/sdny_winningperson/2022-10-24/16449.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808383f99b5801840857aec32721&page=1
78,78,http://snzb.minegoods.com/sdny_winningperson/2022-10-24/16448.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808483f99c610184085992f01f57&page=1
79,79,http://snzb.minegoods.com/sdny_winningperson/2022-10-24/16447.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808583f9a4410184085aec7f3b0a&page=1
80,80,http://snzb.minegoods.com/sdny_winningperson/2022-10-24/16446.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808583f9a4410184085c7a843b15&page=1
81,81,http://snzb.minegoods.com/sdny_winningperson/2022-10-24/16445.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808483f99c610184085d9a861f6d&page=1
82,82,http://snzb.minegoods.com/sdny_winningperson/2022-10-24/16444.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808583f9a4410184085f7c273b45&page=1
83,83,http://snzb.minegoods.com/sdny_winningperson/2022-10-24/16443.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808383f99b5801840860a9b4276f&page=1
84,84,http://snzb.minegoods.com/sdny_winningperson/2022-10-24/16442.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808583f9a44101840862140e3b5b&page=1
85,85,http://snzb.minegoods.com/sdny_winningperson/2022-10-24/16441.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808483f99c610184086334291fa0&page=1
86,86,http://snzb.minegoods.com/sdny_winningperson/2022-10-24/16440.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808583f9a4410184086467b43b7a&page=1
87,87,http://snzb.minegoods.com/sdny_winningperson/2022-10-24/16431.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808383f99b58018407faae4e1e14&page=1
88,88,http://snzb.minegoods.com/sdny_winningperson/2022-10-24/16425.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808583f9a441018407ef7f362f93&page=1
89,89,http://snzb.minegoods.com/sdny_winningperson/2022-10-23/16416.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808583f9a4410184037929406e9d&page=1
90,90,http://snzb.minegoods.com/sdny_winningperson/2022-10-23/16415.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808583f9a4410184036462c16e1d&page=1
91,91,http://snzb.minegoods.com/sdny_winningperson/2022-10-21/16408.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808183f99bdf0183f9c01f1209cd&page=1
92,92,http://snzb.minegoods.com/sdny_winningperson/2022-10-21/16407.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808183f99bdf0183f9a361000107&page=1
93,93,http://snzb.minegoods.com/sdny_winningperson/2022-10-20/16393.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808383ea9d780183ef9a9e365381&page=1
94,94,http://snzb.minegoods.com/sdny_winningperson/2022-10-20/16390.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808183ea9def0183f47ab6e82e5f&page=1
95,95,http://snzb.minegoods.com/sdny_winningperson/2022-10-20/16384.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808383ea9d780183f2fd2dd16a8b&page=1
96,96,http://snzb.minegoods.com/sdny_winningperson/2022-10-19/16382.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808383ea9d780183ee6942bb2478&page=1
97,97,http://snzb.minegoods.com/sdny_winningperson/2022-10-19/16379.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808583ea97d80183eeba603631f3&page=1
98,98,http://snzb.minegoods.com/sdny_winningperson/2022-10-19/16375.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808183ea9def0183ee4498ef1f3a&page=1
99,99,http://snzb.minegoods.com/sdny_winningperson/2022-10-19/16374.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808383ea9d780183ee486f7c21d8&page=1
100,100,http://snzb.minegoods.com/sdny_winningperson/2022-10-19/16370.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808583e56bfc0183ea36aca66ca6&page=1
101,101,http://snzb.minegoods.com/sdny_winningperson/2022-10-18/16357.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808183e5660a0183e9c2039541f0&page=1
102,102,http://snzb.minegoods.com/sdny_winningperson/2022-10-18/16356.html,http://snzb.minegoods.com//resource/css/pdfjs/web/viewer.html?file=http://snzb.minegoods.com/sdnydzzb/cgUploadController.do?openFileById%26id%3D8a81808583e56bfc0183e57654c201c5&page=1
